Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
29,Yes,Travel_Rarely,145.45454545454547,Sales,9.0,3,Life Sciences,1,1,2,Male,52.333333333333336,2,1,Sales Representative,2,Married,3200.0,6400.0,1,Y,No,16,3,2,80,1,7,2,4,3,3,5,3
35,Yes,Travel_Frequently,295.45454545454544,Sales,21.0,3,Life Sciences,1,2,4,Male,87.33333333333333,4,2,Sales Executive,4,Married,6500.0,13000.0,2,Y,Yes,20,4,4,80,1,13,2,1,6,3,5,4
35,Yes,Travel_Frequently,295.45454545454544,Sales,25.0,3,Life Sciences,1,3,1,Male,90.66666666666667,4,2,Sales Executive,1,Married,6500.0,13000.0,2,Y,Yes,20,4,1,80,1,13,2,1,4,3,5,4
34,Yes,Travel_Frequently,145.45454545454547,Sales,20.0,3,Life Sciences,1,4,3,Male,74.33333333333333,4,1,Sales Representative,3,Married,3200.0,6400.0,2,Y,Yes,20,4,3,80,1,12,2,2,5,3,5,4
29,Yes,Travel_Rarely,145.45454545454547,Sales,9.0,3,Life Sciences,1,5,2,Male,53.0,2,1,Sales Representative,2,Married,3200.0,6400.0,1,Y,No,16,3,2,80,1,7,2,4,3,3,5,3
29,Yes,Travel_Rarely,145.45454545454547,Sales,9.0,3,Life Sciences,1,6,2,Male,51.0,2,1,Sales Representative,2,Married,3200.0,6400.0,1,Y,No,16,3,2,80,1,7,2,4,3,3,5,3
34,Yes,Travel_Frequently,145.45454545454547,Sales,22.0,3,Life Sciences,1,7,1,Male,82.33333333333333,4,1,Sales Representative,1,Married,3200.0,6400.0,2,Y,Yes,19,3,1,80,1,12,2,2,4,3,5,4
34,Yes,Travel_Frequently,145.45454545454547,Sales,20.0,3,Life Sciences,1,8,4,Male,86.33333333333333,4,1,Sales Representative,4,Married,3200.0,6400.0,2,Y,Yes,19,4,4,80,1,12,2,1,5,3,5,4
34,Yes,Travel_Frequently,145.45454545454547,Sales,20.0,3,Life Sciences,1,9,4,Male,74.66666666666667,4,1,Sales Representative,4,Married,3200.0,6400.0,2,Y,Yes,21,4,4,80,1,12,2,2,5,3,5,4
29,Yes,Travel_Rarely,145.45454545454547,Sales,9.0,3,Life Sciences,1,10,2,Male,47.333333333333336,2,1,Sales Representative,2,Married,3200.0,6400.0,1,Y,No,16,3,2,80,1,7,2,4,3,3,5,3
29,Yes,Travel_Rarely,145.45454545454547,Sales,9.0,3,Life Sciences,1,11,2,Male,45.0,2,1,Sales Representative,2,Married,3200.0,6400.0,1,Y,No,16,3,2,80,1,7,2,4,3,3,5,3
34,Yes,Travel_Frequently,145.45454545454547,Sales,22.0,3,Life Sciences,1,12,1,Male,100.0,4,1,Sales Representative,1,Married,3200.0,6400.0,2,Y,Yes,19,3,1,80,1,12,2,1,4,3,5,4
33,Yes,Travel_Rarely,145.45454545454547,Sales,17.0,3,Life Sciences,1,13,4,Male,78.0,4,1,Sales Representative,4,Married,3200.0,6400.0,2,Y,Yes,20,4,4,80,1,11,2,2,5,3,5,4
29,Yes,Travel_Rarely,145.45454545454547,Sales,9.0,3,Life Sciences,1,14,2,Male,49.333333333333336,2,1,Sales Representative,2,Married,3200.0,6400.0,1,Y,No,17,3,2,80,1,7,2,4,3,3,5,3
29,Yes,Travel_Rarely,145.45454545454547,Sales,9.0,3,Life Sciences,1,15,2,Male,45.666666666666664,2,1,Sales Representative,2,Married,3200.0,6400.0,1,Y,No,17,3,2,80,1,7,2,4,3,3,5,3
29,Yes,Travel_Rarely,145.45454545454547,Sales,9.0,3,Life Sciences,1,16,2,Male,47.666666666666664,2,1,Sales Representative,2,Married,3200.0,6400.0,1,Y,No,16,3,2,80,1,7,2,4,3,3,5,3
29,Yes,Travel_Rarely,145.45454545454547,Sales,9.0,3,Life Sciences,1,17,2,Male,53.333333333333336,2,1,Sales Representative,2,Married,3200.0,6400.0,1,Y,No,16,3,2,80,1,7,2,4,3,3,5,3
34,Yes,Travel_Rarely,145.45454545454547,Sales,18.0,3,Life Sciences,1,18,4,Male,85.0,4,1,Sales Representative,4,Married,3200.0,6400.0,2,Y,Yes,21,4,4,80,1,12,2,1,6,3,5,4
29,Yes,Travel_Rarely,145.45454545454547,Sales,9.0,3,Life Sciences,1,19,2,Male,53.333333333333336,2,1,Sales Representative,2,Married,3200.0,6400.0,1,Y,No,16,3,2,80,1,7,2,4,3,3,0,3
34,Yes,Travel_Frequently,145.45454545454547,Sales,20.0,3,Life Sciences,1,20,4,Male,87.33333333333333,4,1,Sales Representative,4,Married,3200.0,6400.0,2,Y,Yes,20,4,4,80,1,12,2,1,5,3,5,4
34,Yes,Travel_Frequently,145.45454545454547,Sales,22.0,3,Life Sciences,1,21,1,Male,94.0,4,1,Sales Representative,1,Married,3200.0,6400.0,2,Y,Yes,19,3,1,80,1,12,2,1,4,3,5,4
29,Yes,Travel_Rarely,145.45454545454547,Sales,9.0,3,Life Sciences,1,22,2,Male,49.0,2,1,Sales Representative,2,Married,3200.0,6400.0,1,Y,No,17,3,2,80,1,7,2,4,3,3,5,3
34,Yes,Travel_Frequently,145.45454545454547,Sales,22.0,3,Life Sciences,1,23,1,Male,100.0,4,1,Sales Representative,1,Married,3200.0,6400.0,2,Y,Yes,21,4,1,80,1,12,2,1,4,3,5,4
29,Yes,Travel_Rarely,145.45454545454547,Sales,9.0,3,Life Sciences,1,24,2,Male,46.333333333333336,2,1,Sales Representative,2,Married,3200.0,6400.0,1,Y,No,17,3,2,80,1,7,2,4,3,3,5,3
29,Yes,Travel_Rarely,145.45454545454547,Sales,9.0,3,Life Sciences,1,25,2,Male,52.666666666666664,2,1,Sales Representative,2,Married,3200.0,6400.0,1,Y,No,16,3,2,80,1,7,2,4,3,3,5,3
34,Yes,Travel_Frequently,145.45454545454547,Sales,20.0,3,Life Sciences,1,26,4,Male,80.66666666666667,4,1,Sales Representative,4,Married,3200.0,6400.0,2,Y,Yes,20,4,4,80,1,12,2,2,5,3,5,4
33,Yes,Travel_Rarely,145.45454545454547,Sales,17.0,3,Life Sciences,1,27,4,Male,79.66666666666667,4,1,Sales Representative,4,Married,3200.0,6400.0,2,Y,Yes,20,4,4,80,1,11,2,2,5,3,5,4
29,Yes,Travel_Rarely,145.45454545454547,Sales,9.0,3,Life Sciences,1,28,2,Male,45.0,2,1,Sales Representative,2,Married,3200.0,6400.0,1,Y,No,16,3,2,80,1,7,2,4,3,3,5,3
29,Yes,Travel_Rarely,145.45454545454547,Human Resources,9.0,3,Life Sciences,1,29,2,Male,42.666666666666664,2,1,Human Resources,2,Married,3200.0,6400.0,1,Y,No,16,3,2,80,1,7,2,4,3,3,5,3
29,Yes,Travel_Rarely,145.45454545454547,Human Resources,9.0,3,Life Sciences,1,30,2,Male,44.0,2,1,Human Resources,2,Married,3200.0,6400.0,1,Y,No,16,3,2,80,1,7,2,4,3,3,5,3
34,Yes,Travel_Frequently,145.45454545454547,Human Resources,22.0,3,Life Sciences,1,31,1,Male,98.0,4,1,Human Resources,1,Married,3200.0,6400.0,2,Y,Yes,17,3,1,80,1,12,2,1,4,3,5,4
29,Yes,Travel_Rarely,145.45454545454547,Human Resources,9.0,3,Life Sciences,1,32,2,Male,44.666666666666664,2,1,Human Resources,2,Married,3200.0,6400.0,1,Y,No,17,3,2,80,1,7,2,4,3,3,5,3
29,Yes,Travel_Rarely,145.45454545454547,Human Resources,9.0,3,Life Sciences,1,33,2,Male,48.333333333333336,2,1,Human Resources,2,Married,3200.0,6400.0,1,Y,No,16,3,2,80,1,7,2,4,3,3,5,3
