Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,Yes,Travel_Rarely,1102.0,Sales,1.0,2,Life Sciences,1,1,2,Female,94.0,3,2,Sales Executive,4,Single,5993.0,19479.0,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5
49,No,Travel_Frequently,279.0,Research & Development,8.0,1,Life Sciences,1,2,3,Male,61.0,2,2,Research Scientist,2,Married,5130.0,24907.0,1,Y,No,23,4,4,80,1,10,3,3,10,7,1,7
37,Yes,Travel_Rarely,1373.0,Research & Development,2.0,2,Other,1,4,4,Male,92.0,2,1,Laboratory Technician,3,Single,2090.0,2396.0,6,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0
33,No,Travel_Frequently,1392.0,Research & Development,3.0,4,Life Sciences,1,5,4,Female,56.0,3,1,Research Scientist,3,Married,2909.0,23159.0,1,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0
27,No,Travel_Rarely,591.0,Research & Development,2.0,1,Medical,1,7,1,Male,40.0,3,1,Laboratory Technician,2,Married,3468.0,16632.0,9,Y,No,12,3,4,80,1,6,3,3,2,2,2,2
32,No,Travel_Frequently,1005.0,Research & Development,2.0,2,Life Sciences,1,8,4,Male,79.0,3,1,Laboratory Technician,4,Single,3068.0,11864.0,0,Y,No,13,3,3,80,0,8,2,2,7,7,3,6
59,No,Travel_Rarely,1324.0,Research & Development,3.0,3,Medical,1,10,3,Female,81.0,4,1,Laboratory Technician,4,Married,2670.0,9964.0,4,Y,Yes,20,4,1,80,3,12,3,2,1,0,0,0
30,No,Travel_Rarely,1358.0,Research & Development,24.0,1,Life Sciences,1,11,4,Male,67.0,3,1,Laboratory Technician,3,Divorced,2693.0,13335.0,1,Y,No,22,4,2,80,1,1,2,3,1,0,0,0
38,No,Travel_Frequently,216.0,Research & Development,23.0,3,Life Sciences,1,12,4,Male,44.0,2,3,Manufacturing Director,3,Single,9526.0,8787.0,0,Y,No,21,4,2,80,0,10,2,3,9,7,1,8
36,No,Travel_Rarely,1299.0,Research & Development,27.0,3,Medical,1,13,3,Male,94.0,3,2,Healthcare Representative,3,Married,5237.0,16577.0,6,Y,No,13,3,2,80,2,17,3,2,7,7,7,7
35,No,Travel_Rarely,809.0,Research & Development,16.0,3,Medical,1,14,1,Male,84.0,4,1,Laboratory Technician,2,Married,2426.0,16479.0,0,Y,No,13,3,3,80,1,6,5,3,5,4,0,3
29,No,Travel_Rarely,153.0,Research & Development,15.0,2,Life Sciences,1,15,4,Female,49.0,2,2,Laboratory Technician,3,Single,4193.0,12682.0,0,Y,Yes,12,3,4,80,0,10,3,3,9,5,0,8
31,No,Travel_Rarely,670.0,Research & Development,26.0,1,Life Sciences,1,16,1,Male,31.0,3,1,Research Scientist,3,Divorced,2911.0,15170.0,1,Y,No,17,3,4,80,1,5,1,2,5,2,4,3
34,No,Travel_Rarely,1346.0,Research & Development,19.0,2,Medical,1,18,2,Male,93.0,3,1,Laboratory Technician,4,Divorced,2661.0,8758.0,0,Y,No,11,3,3,80,1,3,2,3,2,2,1,2
28,Yes,Travel_Rarely,103.0,Research & Development,24.0,3,Life Sciences,1,19,3,Male,50.0,2,1,Laboratory Technician,3,Single,2028.0,12947.0,5,Y,Yes,14,3,2,80,0,6,4,3,4,2,0,3
29,No,Travel_Rarely,1389.0,Research & Development,21.0,4,Life Sciences,1,20,2,Female,51.0,4,3,Manufacturing Director,4,Divorced,9980.0,10195.0,1,Y,No,11,3,3,80,1,10,1,3,10,9,8,8
32,No,Travel_Rarely,334.0,Research & Development,5.0,2,Life Sciences,1,21,1,Male,80.0,4,1,Research Scientist,2,Divorced,3298.0,15053.0,0,Y,Yes,12,3,4,80,2,7,5,2,6,2,0,5
22,No,Non-Travel,1123.0,Research & Development,16.0,2,Medical,1,22,4,Male,96.0,4,1,Laboratory Technician,4,Divorced,2935.0,7324.0,1,Y,Yes,13,3,2,80,2,1,2,2,1,0,0,0
53,No,Travel_Rarely,1219.0,Sales,2.0,4,Life Sciences,1,23,1,Female,78.0,2,4,Manager,4,Married,15427.0,22021.0,2,Y,No,16,3,3,80,0,31,3,3,25,8,3,7
38,No,Travel_Rarely,371.0,Research & Development,2.0,3,Life Sciences,1,24,4,Male,45.0,3,1,Research Scientist,4,Single,3944.0,4306.0,5,Y,Yes,11,3,3,80,0,6,3,3,3,2,1,2
24,No,Non-Travel,673.0,Research & Development,11.0,2,Other,1,26,1,Female,96.0,4,2,Manufacturing Director,3,Divorced,4011.0,8232.0,0,Y,No,18,3,4,80,1,5,5,2,4,2,1,3
36,Yes,Travel_Rarely,1218.0,Sales,9.0,4,Life Sciences,1,27,3,Male,82.0,2,1,Sales Representative,4,Single,3407.0,6986.0,7,Y,No,23,4,2,80,0,10,4,3,5,3,0,3
34,No,Travel_Rarely,419.0,Research & Development,7.0,4,Life Sciences,1,28,1,Female,53.0,3,3,Research Director,2,Single,11994.0,21293.0,0,Y,No,11,3,3,80,0,13,4,3,12,6,2,11
21,No,Travel_Rarely,391.0,Research & Development,15.0,2,Life Sciences,1,30,3,Male,96.0,3,1,Research Scientist,4,Single,1232.0,19281.0,1,Y,No,14,3,4,80,0,0,6,3,0,0,0,0
34,Yes,Travel_Rarely,699.0,Research & Development,6.0,1,Medical,1,31,2,Male,83.0,3,1,Research Scientist,4,Single,2960.0,17102.0,2,Y,No,11,3,3,80,0,8,2,3,4,2,1,3
53,No,Travel_Rarely,1282.0,Research & Development,5.0,3,Other,1,32,3,Female,58.0,3,5,Manager,3,Divorced,19094.0,10735.0,4,Y,No,11,3,4,80,1,26,3,2,14,13,4,8
32,Yes,Travel_Frequently,1125.0,Research & Development,16.0,1,Life Sciences,1,33,2,Female,72.0,1,1,Research Scientist,4,Single,3919.0,4681.0,1,Y,Yes,22,4,2,80,0,10,5,3,10,2,6,7
42,No,Travel_Rarely,691.0,Sales,8.0,4,Marketing,1,35,3,Male,48.0,3,2,Sales Executive,2,Married,6825.0,21173.0,0,Y,No,11,3,4,80,1,10,2,3,9,7,4,2
44,No,Travel_Rarely,477.0,Research & Development,7.0,4,Medical,1,36,1,Female,42.0,2,3,Healthcare Representative,4,Married,10248.0,2094.0,3,Y,No,14,3,4,80,1,24,4,3,22,6,5,17
46,No,Travel_Rarely,705.0,Sales,2.0,4,Marketing,1,38,2,Female,83.0,3,5,Manager,4,Single,18947.0,22822.0,3,Y,No,12,3,4,80,0,22,2,2,2,2,2,1
33,No,Travel_Rarely,924.0,Research & Development,2.0,3,Medical,1,39,3,Male,78.0,3,1,Laboratory Technician,4,Single,2496.0,6670.0,4,Y,No,11,3,4,80,0,7,3,3,1,1,0,0
44,No,Travel_Rarely,1459.0,Research & Development,10.0,4,Other,1,40,4,Male,41.0,3,2,Healthcare Representative,4,Married,6465.0,19121.0,2,Y,Yes,13,3,4,80,0,9,5,4,4,2,1,3
30,No,Travel_Rarely,125.0,Research & Development,9.0,2,Medical,1,41,4,Male,83.0,2,1,Laboratory Technician,3,Single,2206.0,16117.0,1,Y,No,13,3,1,80,0,10,5,3,10,0,1,8
39,Yes,Travel_Rarely,895.0,Sales,5.0,3,Technical Degree,1,42,4,Male,56.0,3,2,Sales Representative,4,Married,2086.0,3335.0,3,Y,No,14,3,3,80,1,19,6,4,1,0,0,0
24,Yes,Travel_Rarely,813.0,Research & Development,1.0,3,Medical,1,45,2,Male,61.0,3,1,Research Scientist,4,Married,2293.0,3020.0,2,Y,Yes,16,3,1,80,1,6,2,2,2,0,2,0
43,No,Travel_Rarely,1273.0,Research & Development,2.0,2,Medical,1,46,4,Female,72.0,4,1,Research Scientist,3,Divorced,2645.0,21923.0,1,Y,No,12,3,4,80,2,6,3,2,5,3,1,4
50,Yes,Travel_Rarely,869.0,Sales,3.0,2,Marketing,1,47,1,Male,86.0,2,1,Sales Representative,3,Married,2683.0,3810.0,1,Y,Yes,14,3,3,80,0,3,2,3,3,2,0,2
35,No,Travel_Rarely,890.0,Sales,2.0,3,Marketing,1,49,4,Female,97.0,3,1,Sales Representative,4,Married,2014.0,9687.0,1,Y,No,13,3,1,80,0,2,3,3,2,2,2,2
36,No,Travel_Rarely,852.0,Research & Development,5.0,4,Life Sciences,1,51,2,Female,82.0,2,1,Research Scientist,4,Married,3419.0,13072.0,9,Y,Yes,14,3,4,80,1,6,3,4,1,1,0,0
33,No,Travel_Frequently,1141.0,Sales,1.0,3,Life Sciences,1,52,3,Female,42.0,4,2,Sales Executive,4,Married,5376.0,3193.0,2,Y,No,19,3,1,80,2,10,3,3,5,3,1,3
35,No,Travel_Rarely,464.0,Research & Development,4.0,2,Other,1,53,3,Male,75.0,3,1,Laboratory Technician,4,Divorced,1951.0,10910.0,1,Y,No,12,3,3,80,1,1,3,3,1,0,0,0
27,No,Travel_Rarely,1240.0,Research & Development,2.0,4,Life Sciences,1,54,4,Female,33.0,3,1,Laboratory Technician,4,Divorced,2341.0,19715.0,1,Y,No,13,3,4,80,1,1,6,3,1,0,0,0
26,Yes,Travel_Rarely,1357.0,Research & Development,25.0,3,Life Sciences,1,55,1,Male,48.0,1,1,Laboratory Technician,3,Single,2293.0,10558.0,1,Y,No,12,3,3,80,0,1,2,2,1,0,0,1
27,No,Travel_Frequently,994.0,Sales,8.0,3,Life Sciences,1,56,4,Male,37.0,3,3,Sales Executive,3,Single,8726.0,2975.0,1,Y,No,15,3,4,80,0,9,0,3,9,8,1,7
30,No,Travel_Frequently,721.0,Research & Development,1.0,2,Medical,1,57,3,Female,58.0,3,2,Laboratory Technician,4,Single,4011.0,10781.0,1,Y,No,23,4,4,80,0,12,2,3,12,8,3,7
41,Yes,Travel_Rarely,1360.0,Research & Development,12.0,3,Technical Degree,1,58,2,Female,49.0,3,5,Research Director,3,Married,19545.0,16280.0,1,Y,No,12,3,4,80,0,23,0,3,22,15,15,8
34,No,Non-Travel,1065.0,Sales,23.0,4,Marketing,1,60,2,Male,72.0,3,2,Sales Executive,3,Single,4568.0,10034.0,0,Y,No,20,4,3,80,0,10,2,3,9,5,8,7
37,No,Travel_Rarely,408.0,Research & Development,19.0,2,Life Sciences,1,61,2,Male,73.0,3,1,Research Scientist,2,Married,3022.0,10227.0,4,Y,No,21,4,1,80,0,8,1,3,1,0,0,0
46,No,Travel_Frequently,1211.0,Sales,5.0,4,Marketing,1,62,1,Male,98.0,3,2,Sales Executive,4,Single,5772.0,20445.0,4,Y,Yes,21,4,3,80,0,14,4,3,9,6,0,8
35,No,Travel_Rarely,1229.0,Research & Development,8.0,1,Life Sciences,1,63,4,Male,36.0,4,1,Laboratory Technician,4,Married,2269.0,4892.0,1,Y,No,19,3,4,80,0,1,2,3,1,0,0,1
48,Yes,Travel_Rarely,626.0,Research & Development,1.0,2,Life Sciences,1,64,1,Male,98.0,2,3,Laboratory Technician,3,Single,5381.0,19294.0,9,Y,Yes,13,3,4,80,0,23,2,3,1,0,0,0
28,Yes,Travel_Rarely,1434.0,Research & Development,5.0,4,Technical Degree,1,65,3,Male,50.0,3,1,Laboratory Technician,3,Single,3441.0,11179.0,1,Y,Yes,13,3,3,80,0,2,3,2,2,2,2,2
44,No,Travel_Rarely,1488.0,Sales,1.0,5,Marketing,1,68,2,Female,75.0,3,2,Sales Executive,4,Divorced,5454.0,4009.0,5,Y,Yes,21,4,3,80,1,9,2,2,4,3,1,3
35,No,Non-Travel,1097.0,Research & Development,11.0,2,Medical,1,70,3,Male,79.0,2,3,Healthcare Representative,4,Married,9884.0,8302.0,2,Y,Yes,13,3,3,80,1,10,3,3,4,0,2,3
26,No,Travel_Rarely,1443.0,Sales,23.0,3,Marketing,1,72,3,Female,47.0,2,2,Sales Executive,4,Married,4157.0,21436.0,7,Y,Yes,19,3,3,80,1,5,2,2,2,2,0,0
33,No,Travel_Frequently,515.0,Research & Development,1.0,2,Life Sciences,1,73,1,Female,98.0,3,3,Research Director,4,Single,13458.0,15146.0,1,Y,Yes,12,3,3,80,0,15,1,3,15,14,8,12
35,No,Travel_Frequently,853.0,Sales,18.0,5,Life Sciences,1,74,2,Male,71.0,3,3,Sales Executive,4,Married,9069.0,11031.0,1,Y,No,22,4,4,80,1,9,3,2,9,8,1,8
35,No,Travel_Rarely,1142.0,Research & Development,23.0,4,Medical,1,75,3,Female,30.0,3,1,Laboratory Technician,4,Married,4014.0,16002.0,3,Y,Yes,15,3,3,80,1,4,3,3,2,2,2,2
31,No,Travel_Rarely,655.0,Research & Development,7.0,4,Life Sciences,1,76,4,Male,48.0,3,2,Laboratory Technician,4,Divorced,5915.0,9528.0,3,Y,No,22,4,4,80,1,10,3,2,7,7,1,7
37,No,Travel_Rarely,1115.0,Research & Development,1.0,4,Life Sciences,1,77,1,Male,51.0,2,2,Manufacturing Director,3,Divorced,5993.0,2689.0,1,Y,No,18,3,3,80,1,7,2,4,7,5,0,7
32,No,Travel_Rarely,427.0,Research & Development,1.0,3,Medical,1,78,1,Male,33.0,3,2,Manufacturing Director,4,Married,6162.0,10877.0,1,Y,Yes,22,4,2,80,1,9,3,3,9,8,7,8
38,No,Travel_Frequently,653.0,Research & Development,29.0,5,Life Sciences,1,79,4,Female,50.0,3,2,Laboratory Technician,4,Single,2406.0,5456.0,1,Y,No,11,3,4,80,0,10,2,3,10,3,9,9
50,No,Travel_Rarely,989.0,Research & Development,7.0,2,Medical,1,80,2,Female,43.0,2,5,Research Director,3,Divorced,18740.0,16701.0,5,Y,Yes,12,3,4,80,1,29,2,2,27,3,13,8
59,No,Travel_Rarely,1435.0,Sales,25.0,3,Life Sciences,1,81,1,Female,99.0,3,3,Sales Executive,4,Single,7637.0,2354.0,7,Y,No,11,3,4,80,0,28,3,2,21,16,7,9
36,No,Travel_Rarely,1223.0,Research & Development,8.0,3,Technical Degree,1,83,3,Female,59.0,3,3,Healthcare Representative,3,Divorced,10096.0,8202.0,1,Y,No,13,3,2,80,3,17,2,3,17,14,12,8
55,No,Travel_Rarely,836.0,Research & Development,8.0,3,Medical,1,84,4,Female,33.0,3,4,Manager,3,Divorced,14756.0,19730.0,2,Y,Yes,14,3,3,80,3,21,2,3,5,0,0,2
36,No,Travel_Frequently,1195.0,Research & Development,11.0,3,Life Sciences,1,85,2,Male,95.0,2,2,Manufacturing Director,2,Single,6499.0,22656.0,1,Y,No,13,3,3,80,0,6,3,3,6,5,0,3
45,No,Travel_Rarely,1339.0,Research & Development,7.0,3,Life Sciences,1,86,2,Male,59.0,3,3,Research Scientist,4,Divorced,9724.0,18787.0,2,Y,No,17,3,3,80,1,25,2,3,1,0,0,0
35,No,Travel_Frequently,664.0,Research & Development,1.0,3,Medical,1,88,2,Male,79.0,3,1,Research Scientist,4,Married,2194.0,5868.0,4,Y,No,13,3,4,80,1,5,2,2,3,2,1,2
36,Yes,Travel_Rarely,318.0,Research & Development,9.0,3,Medical,1,90,4,Male,79.0,2,1,Research Scientist,3,Married,3388.0,21777.0,0,Y,Yes,17,3,1,80,1,2,0,2,1,0,0,0
59,No,Travel_Frequently,1225.0,Sales,1.0,1,Life Sciences,1,91,1,Female,57.0,2,2,Sales Executive,3,Single,5473.0,24668.0,7,Y,No,11,3,4,80,0,20,2,2,4,3,1,3
29,No,Travel_Rarely,1328.0,Research & Development,2.0,3,Life Sciences,1,94,3,Male,76.0,3,1,Research Scientist,2,Married,2703.0,4956.0,0,Y,No,23,4,4,80,1,6,3,3,5,4,0,4
31,No,Travel_Rarely,1082.0,Research & Development,1.0,4,Medical,1,95,3,Male,87.0,3,1,Research Scientist,2,Single,2501.0,18775.0,1,Y,No,17,3,2,80,0,1,4,3,1,1,1,0
32,No,Travel_Rarely,548.0,Research & Development,1.0,3,Life Sciences,1,96,2,Male,66.0,3,2,Research Scientist,2,Married,6220.0,7346.0,1,Y,No,17,3,2,80,2,10,3,3,10,4,0,9
36,No,Travel_Rarely,132.0,Research & Development,6.0,3,Life Sciences,1,97,2,Female,55.0,4,1,Laboratory Technician,4,Married,3038.0,22002.0,3,Y,No,12,3,2,80,0,5,3,3,1,0,0,0
31,No,Travel_Rarely,746.0,Research & Development,8.0,4,Life Sciences,1,98,3,Female,61.0,3,2,Manufacturing Director,4,Single,4424.0,20682.0,1,Y,No,23,4,4,80,0,11,2,3,11,7,1,8
35,No,Travel_Rarely,776.0,Sales,1.0,4,Marketing,1,100,3,Male,32.0,2,2,Sales Executive,4,Single,4312.0,23016.0,0,Y,No,14,3,2,80,0,16,2,3,15,13,2,8
45,No,Travel_Rarely,193.0,Research & Development,6.0,4,Other,1,101,4,Male,52.0,3,3,Research Director,4,Married,13245.0,15067.0,4,Y,Yes,14,3,2,80,0,17,3,4,0,0,0,0
37,No,Travel_Rarely,397.0,Research & Development,7.0,4,Medical,1,102,1,Male,30.0,3,3,Research Director,3,Single,13664.0,25258.0,4,Y,No,13,3,1,80,0,16,3,4,5,2,0,2
46,No,Travel_Rarely,945.0,Human Resources,5.0,2,Medical,1,103,2,Male,80.0,3,2,Human Resources,2,Divorced,5021.0,10425.0,8,Y,Yes,22,4,4,80,1,16,2,3,4,2,0,2
30,No,Travel_Rarely,852.0,Research & Development,1.0,1,Life Sciences,1,104,4,Male,55.0,2,2,Laboratory Technician,4,Married,5126.0,15998.0,1,Y,Yes,12,3,3,80,2,10,1,2,10,8,3,0
35,No,Travel_Rarely,1214.0,Research & Development,1.0,3,Medical,1,105,2,Male,30.0,2,1,Research Scientist,3,Single,2859.0,26278.0,1,Y,No,18,3,1,80,0,6,3,3,6,4,0,4
55,No,Travel_Rarely,111.0,Sales,1.0,2,Life Sciences,1,106,1,Male,70.0,3,3,Sales Executive,4,Married,10239.0,18092.0,3,Y,No,14,3,4,80,1,24,4,3,1,0,1,0
38,No,Non-Travel,573.0,Research & Development,6.0,3,Medical,1,107,2,Female,79.0,1,2,Research Scientist,4,Divorced,5329.0,15717.0,7,Y,Yes,12,3,4,80,3,17,3,3,13,11,1,9
34,No,Travel_Rarely,1153.0,Research & Development,1.0,2,Medical,1,110,1,Male,94.0,3,2,Manufacturing Director,2,Married,4325.0,17736.0,1,Y,No,15,3,3,80,0,5,2,3,5,2,1,3
56,No,Travel_Rarely,1400.0,Research & Development,7.0,3,Life Sciences,1,112,4,Male,49.0,1,3,Manufacturing Director,4,Single,7260.0,21698.0,4,Y,No,11,3,1,80,0,37,3,2,6,4,0,2
23,No,Travel_Rarely,541.0,Sales,2.0,1,Technical Degree,1,113,3,Male,62.0,3,1,Sales Representative,4,Divorced,2322.0,9518.0,3,Y,No,13,3,3,80,1,3,3,3,0,0,0,0
